lastname,firstname,residentID,programID,name
Barber,Derrick,83302937,PSY,Psychiatry
Barber,Hassan,86548088,XXX,NOT_MATCHED
Barber,Jovie,73430617,EMD,Emergency Medicine
Barber,Raina,27133580,EMD,Emergency Medicine
Barber,Samuel,31872880,IMD,Internal Medicine
Barker,Chris,98161398,FMD,Family Medicine
Barker,Margot,35447420,FMD,Family Medicine
Barker,Robert,32959828,PSY,Psychiatry
Barnes,Charlotte,47413198,FMD,Family Medicine
Barnes,Fernando,59648916,FMD,Family Medicine
Barnes,Ty,26848036,FMD,Family Medicine
Barnett,Armando,76383154,FMD,Family Medicine
Barnett,Edward,13507794,XXX,NOT_MATCHED
Barnett,Jakari,53299646,IMD,Internal Medicine
Barnett,Malia,71223705,FMD,Family Medicine
Barnett,Yosef,99514309,FMD,Family Medicine
Barr,Adriel,29067870,DRA,Diagnostic Radiology
Barr,Angie,89721761,FMD,Family Medicine
Barr,Aziel,91553922,ANT,Anesthesiology
Barr,Dariel,42578291,FMD,Family Medicine
Barr,Journey,61984345,DRA,Diagnostic Radiology
Barr,Melody,95003180,FMD,Family Medicine
Barr,Micah,56043627,FMD,Family Medicine
Barr,Treasure,56328507,ANT,Anesthesiology
Barr,Zachariah,79166953,FMD,Family Medicine
Barrera,Allyson,57913957,FMD,Family Medicine
Barrera,Cassidy,52264632,IMD,Internal Medicine
Barrera,Kolton,28568512,XXX,NOT_MATCHED
Barrett,Calum,32475643,PSY,Psychiatry
Barrett,Ryann,62409515,IMD,Internal Medicine
Barron,Alex,84458021,FMD,Family Medicine
Barron,Denise,80701484,FMD,Family Medicine
Barron,Jeffrey,66238737,FMD,Family Medicine
Barron,Juan,98051604,OTO,Otolaryngology - Head and Neck Surgery
Barron,Keanu,95066089,FMD,Family Medicine
Barron,Octavia,12051654,FMD,Family Medicine
Barry,Damien,28586878,IMD,Internal Medicine
Barry,Jonathan,93203250,PDT,Pediatrics
Barry,Kate,84309774,PDT,Pediatrics
Barry,Kiaan,11728294,EMD,Emergency Medicine
Bartlett,Andrew,17657916,FMD,Family Medicine
Bartlett,Fiona,82035198,FMD,Family Medicine
Bartlett,Jimena,61467735,FMD,Family Medicine
Bartlett,Madeline,15240978,OBG,Obstetrics and Gynecology
Bartlett,Remington,14610406,XXX,NOT_MATCHED
Bartlett,Salvador,55932243,FMD,Family Medicine
Barton,Aarav,41128043,FMD,Family Medicine
Barton,Corbin,87594026,ANT,Anesthesiology
Barton,Emely,52841816,FMD,Family Medicine
Barton,Joel,85486084,FMD,Family Medicine
Barton,Mina,29465853,FMD,Family Medicine
Barton,Valentin,24874850,DRA,Diagnostic Radiology
Bass,Archer,98366440,FMD,Family Medicine
Bass,Drake,26729268,IMD,Internal Medicine
Bass,Gabriella,50997573,IMD,Internal Medicine
Bass,Kyra,31097608,FMD,Family Medicine
Bass,Maryam,90613965,URO,Urology
Bates,Corinne,62571555,FMD,Family Medicine
Bates,Demetrius,93550469,ANT,Anesthesiology
Bates,Katherine,15372840,FMD,Family Medicine
Bates,Malayah,10777904,FMD,Family Medicine
Bates,Matilda,71834245,FMD,Family Medicine
Bauer,Connor,32302042,OBG,Obstetrics and Gynecology
Bauer,Gianna,97160368,FMD,Family Medicine
Bauer,Marlee,81242647,PSY,Psychiatry
Bauer,Melanie,51430071,FMD,Family Medicine
Bauer,Reginald,41378643,ROC,Radiation Oncology
Bautista,Amoura,42565649,FMD,Family Medicine
Bautista,Leslie,85536172,IMD,Internal Medicine
Bautista,Melody,40236578,FMD,Family Medicine
Bautista,Nathalia,96593618,EMD,Emergency Medicine
Bautista,Randy,54812529,FMD,Family Medicine
Baxter,Daxton,77934155,ANT,Anesthesiology
Baxter,Enzo,72725284,EMD,Emergency Medicine
Baxter,Isabela,58711033,FMD,Family Medicine
Bean,Ayan,39102647,XXX,NOT_MATCHED
Bean,Bobby,25330206,FMD,Family Medicine
Bean,Henley,13643172,IMD,Internal Medicine
Bean,Jay,90533176,FMD,Family Medicine
Bean,Kendra,21366493,FMD,Family Medicine
Bean,Simon,60318352,FMD,Family Medicine
Beard,Lucca,22615779,PSU,Plastic Surgery
Beasley,Bianca,63079463,NRO,Neurology
Beasley,Cooper,96280819,ANT,Anesthesiology
Beasley,Ivanna,25425531,OBG,Obstetrics and Gynecology
Beasley,Madalynn,56839464,IMD,Internal Medicine
Beasley,Omar,78870098,FMD,Family Medicine
Beasley,Reece,50218743,FMD,Family Medicine
Beasley,Sterling,64265292,FMD,Family Medicine
Beasley,Westley,12880144,XXX,NOT_MATCHED
Beck,Alayna,24178849,FMD,Family Medicine
Beck,Allie,21153129,FMD,Family Medicine
Beck,Aubrey,12075581,FMD,Family Medicine
Beck,Yousef,81296755,XXX,NOT_MATCHED
Becker,Koa,51469108,FMD,Family Medicine
Becker,Louise,77309544,FMD,Family Medicine
Beil,Heidi,11930816,FMD,Family Medicine
Beil,Ian,96329991,FMD,Family Medicine
Bell,Jayson,77383315,FMD,Family Medicine
Bell,Lewis,12150740,MMI,Medical Microbiology
Bell,Paloma,54440781,IMD,Internal Medicine
Bell,Zahir,17071649,IMD,Internal Medicine
Beltran,Colt,32388317,OTO,Otolaryngology - Head and Neck Surgery
Beltran,Hayes,17571093,IMD,Internal Medicine
Beltran,Landyn,40768196,FMD,Family Medicine
Beltran,Tinsley,46822343,FMD,Family Medicine
Bender,Ariyah,70751700,FMD,Family Medicine
Bender,Cassidy,74137322,EMD,Emergency Medicine
Bender,Charlie,60966637,PMR,Physical Medicine & Rehabilitation
Bender,Clementine,73375649,IMD,Internal Medicine
Bender,Mateo,42009866,FMD,Family Medicine
Bender,River,85115064,PSY,Psychiatry
Benitez,Antonio,90423502,ANT,Anesthesiology
Benitez,Maxwell,92287929,IMD,Internal Medicine
Benitez,Paloma,59573648,OBG,Obstetrics and Gynecology
Benjamin,Alma,84287913,PDT,Pediatrics
Benjamin,Colton,87549903,PMR,Physical Medicine & Rehabilitation
Benjamin,Noe,85968911,ANT,Anesthesiology
Bennett,Abner,73864650,DRA,Diagnostic Radiology
Bennett,Julianna,30046424,DRA,Diagnostic Radiology
Bennett,Lara,13943909,GSU,General Surgery
Bennett,Vienna,20868610,FMD,Family Medicine
Benson,Amirah,93848859,FMD,Family Medicine
Benson,Erin,90984097,IMD,Internal Medicine
Benson,Lochlan,46504964,FMD,Family Medicine
Benson,Mavis,69606872,FMD,Family Medicine
Benson,Michelle,71541511,IMD,Internal Medicine
Benson,Zayden,75904837,PSY,Psychiatry
Bentley,Charley,62229105,OTO,Otolaryngology - Head and Neck Surgery
Bentley,Mason,76214791,OTO,Otolaryngology - Head and Neck Surgery
Bentley,Miles,51729659,PSY,Psychiatry
Bentley,Natalia,89584759,FMD,Family Medicine
Bentley,Roland,97640717,PSY,Psychiatry
Bentley,Tristen,51483126,OTO,Otolaryngology - Head and Neck Surgery
Benton,Arielle,57031365,FMD,Family Medicine
Benton,Kingston,26942241,IMD,Internal Medicine
Benton,Marcel,23484618,IMD,Internal Medicine
Benton,Wesson,76041611,FMD,Family Medicine
Benton,Wren,91141627,OBG,Obstetrics and Gynecology
Berg,Ari,62441690,HEP,Hematological Pathology
Berg,Brixton,87677676,FMD,Family Medicine
Berg,Ernesto,96863137,FMD,Family Medicine
Berg,Lucy,11617724,FMD,Family Medicine
Berger,Rodney,73033648,FMD,Family Medicine
Bernal,Omar,45988678,FMD,Family Medicine
Bernard,Gunner,40997427,IMD,Internal Medicine
Bernard,Hayley,14364902,OPH,Ophthalmology
Bernard,Hendrix,82243539,IMD,Internal Medicine
Bernard,Maliyah,76806727,FMD,Family Medicine
Berry,Ashton,17575049,FMD,Family Medicine
Best,Brendan,60296692,FMD,Family Medicine
Best,Delaney,66784454,IMD,Internal Medicine
Best,Leyla,39711816,XXX,NOT_MATCHED
Bishop,Alayah,92471801,IMD,Internal Medicine
Bishop,Briar,22767244,PSY,Psychiatry
Bishop,Harlem,28575930,FMD,Family Medicine
Bishop,Zaid,24844485,FMD,Family Medicine
Black,Dream,94401893,FMD,Family Medicine
Black,June,97642518,FMD,Family Medicine
Black,Keenan,68702368,PDT,Pediatrics
Blackburn,Adeline,65033820,FMD,Family Medicine
Blackburn,Ansley,33166092,EMD,Emergency Medicine
Blackburn,Brooklynn,73774899,FMD,Family Medicine
Blackburn,Clayton,86878195,FMD,Family Medicine
Blackburn,Edison,33063084,FMD,Family Medicine
Blackburn,Noah,70921005,FMD,Family Medicine
Blackburn,Warren,46065801,DRA,Diagnostic Radiology
Blackwell,Finley,14957330,FME,Family Medicine integrated Emergency Medicine
Blackwell,Hayley,51108820,FMD,Family Medicine
Blackwell,Juan,50630965,NRO,Neurology
Blackwell,Kylie,22120131,FMD,Family Medicine
Blair,Galilea,12043440,FMD,Family Medicine
Blair,Giana,12010795,XXX,NOT_MATCHED
Blair,Penny,21300367,IMD,Internal Medicine
Blair,Zoe,83765481,EMD,Emergency Medicine
Blake,Briggs,38089495,FMD,Family Medicine
Blake,Ismael,19968267,XXX,NOT_MATCHED
Blake,Ocean,60764105,FMD,Family Medicine
Blake,Rebekah,82687467,URO,Urology
Blanchard,Harley,86793546,XXX,NOT_MATCHED
Blanchard,Lilyana,15983605,DRA,Diagnostic Radiology
Blankenship,Aidan,60426336,FMD,Family Medicine
Blankenship,Averie,63939370,FMD,Family Medicine
Blankenship,Fabian,19747801,FMD,Family Medicine
Blankenship,Malaya,34427899,FMD,Family Medicine
Blevins,Addyson,30019610,NRO,Neurology
Blevins,Everest,30873035,IMD,Internal Medicine
Blevins,Joey,57561583,IMD,Internal Medicine
Blevins,Kara,52108997,OPH,Ophthalmology
Blevins,Ledger,58045329,XXX,NOT_MATCHED
Blevins,Penny,81192018,FMD,Family Medicine
Blevins,Zoey,42996814,IMD,Internal Medicine
Bond,Banks,56994386,FMD,Family Medicine
Bond,Grayson,66402268,DMT,Dermatology
Bond,Kyree,69661735,IMD,Internal Medicine
Bond,Rory,66559895,DMP,Diagnostic and Molecular Pathology
Bond,Salem,94474727,FMD,Family Medicine
Bonilla,Harlan,18256748,PSY,Psychiatry
Bonilla,Jessica,37850680,OBG,Obstetrics and Gynecology
Bonilla,Kaiden,80741688,XXX,NOT_MATCHED
Bonilla,Micah,33546102,IMD,Internal Medicine
Bonilla,Riggs,45052958,IMD,Internal Medicine
Bonilla,Saige,76562811,FMD,Family Medicine
Booker,Wilson,83785574,FMD,Family Medicine
Boone,Amir,98488163,FMD,Family Medicine
Boone,Freya,48268020,FMD,Family Medicine
Booth,Alexandra,96607171,IMD,Internal Medicine
Booth,Fatima,88975519,DRA,Diagnostic Radiology
Booth,Raphael,75044740,PSU,Plastic Surgery
Booth,Samira,20579390,DRA,Diagnostic Radiology
Bowen,Juelz,50354320,DRA,Diagnostic Radiology
Bowen,Kelvin,23945177,FMD,Family Medicine
Bowen,Mia,59141856,FMD,Family Medicine
Bowen,Vivian,13294308,PDT,Pediatrics
Bowen,Westin,19936834,FMD,Family Medicine
Bowers,Kadence,24781715,FMD,Family Medicine
Bowers,Zechariah,20747762,EMD,Emergency Medicine
Bowman,Amari,13470880,PMR,Physical Medicine & Rehabilitation
Bowman,Dustin,27017058,PSY,Psychiatry
Bowman,Jamie,10678293,NMD,Nuclear Medicine
Bowman,Juan,87974146,FMD,Family Medicine
Bowman,Malaya,15957477,NRO,Neurology
Boyd,Alexandra,59030597,DMT,Dermatology
Boyd,Justice,58062212,FMD,Family Medicine
Boyd,Koda,17163932,XXX,NOT_MATCHED
Boyd,Lacey,12658889,ANT,Anesthesiology
Boyd,Lochlan,96558998,FMD,Family Medicine
Boyer,Kamila,64347735,XXX,NOT_MATCHED
Boyer,Peyton,82205776,FMD,Family Medicine
Boyer,Quinn,28325245,FMD,Family Medicine
Boyle,Ainsley,30155899,OPH,Ophthalmology
Boyle,Andrew,23440770,FMD,Family Medicine
Boyle,Benjamin,82709024,FMD,Family Medicine
Boyle,Madeleine,83193949,EMD,Emergency Medicine
Bradford,Alondra,19069176,IMD,Internal Medicine
Bradford,Kamila,27348466,FMD,Family Medicine
Bradford,Kohen,60061761,DRA,Diagnostic Radiology
Bradford,Mckinley,38731930,ANT,Anesthesiology
Bradford,Rebecca,87617055,XXX,NOT_MATCHED
Bradley,Leah,85348236,XXX,NOT_MATCHED
Bradley,Marcus,92516217,OBG,Obstetrics and Gynecology
Bradley,Miriam,11400024,IMD,Internal Medicine
Bradley,Moshe,19091648,NRS,Neurosurgery
Bradshaw,Fletcher,17916728,PSY,Psychiatry
Bradshaw,Lochlan,99014140,FMD,Family Medicine
Bradshaw,Maeve,12734320,FMD,Family Medicine
Bradshaw,Nolan,50795687,FMD,Family Medicine
Brady,Reuben,49003371,MGG,Medical Genetics and Genomics
Branch,Adaline,81064203,IMD,Internal Medicine
Branch,Alisson,41130460,FMD,Family Medicine
Branch,Braylee,78270080,FMD,Family Medicine
Branch,Dangelo,47179862,NRS,Neurosurgery
Branch,Emmalynn,74084738,FMD,Family Medicine
Branch,Kolton,97610649,FMD,Family Medicine
Branch,Maximo,89605746,NRS,Neurosurgery
Brandt,Chance,77893266,IMD,Internal Medicine
Brandt,Ulises,22132488,PSY,Psychiatry
Bravo,Alayah,59888178,FMD,Family Medicine
Bravo,Guillermo,90650373,FMD,Family Medicine
Bravo,Joey,25387261,XXX,NOT_MATCHED
Bravo,Sky,35041113,IMD,Internal Medicine
Brennan,Aya,53562771,FMD,Family Medicine
Brennan,Derek,35859482,VSU,Vascular Surgery
Brennan,Emilia,51359029,PDT,Pediatrics
Brennan,Hassan,79456070,PDT,Pediatrics
Brennan,Oakley,33180679,FMD,Family Medicine
Brewer,Danna,33303690,OBG,Obstetrics and Gynecology
Brewer,Dorothy,59645548,IMD,Internal Medicine
Brewer,Elaina,47968724,IMD,Internal Medicine
Brewer,Ryann,86168965,FMD,Family Medicine
Brewer,Terry,94943680,FMD,Family Medicine
Bridges,Everleigh,78310913,FMD,Family Medicine
Bridges,Gatlin,79614248,FMD,Family Medicine
Bridges,Jakobe,19315292,DMP,Diagnostic and Molecular Pathology
Bridges,Koda,61390089,IMD,Internal Medicine
Bridges,Liana,74543912,XXX,NOT_MATCHED
Bridges,Sylvia,42554163,PDT,Pediatrics
Briggs,Frederick,90865020,FMD,Family Medicine
Briggs,Shepherd,11342056,FMD,Family Medicine
Briggs,Vincenzo,70252449,IMD,Internal Medicine
Brock,Casen,66539015,FMD,Family Medicine
Brock,Luisa,32140988,XXX,NOT_MATCHED
Brock,Maya,68261186,FMD,Family Medicine
Brooks,Elaine,49487336,ANT,Anesthesiology
Brooks,Jose,38280840,IMD,Internal Medicine
Brooks,Mohammad,96570374,OPH,Ophthalmology
Brooks,Nathan,58963955,IMD,Internal Medicine
Brooks,Sophia,19210935,PSY,Psychiatry
Brown,Arlo,72411627,FMD,Family Medicine
Brown,Mackenzie,96796841,IMD,Internal Medicine
Brown,Mateo,55881987,FMD,Family Medicine
Browning,Arian,52867354,FMD,Family Medicine
Browning,Aspen,18764759,PSY,Psychiatry
Browning,Kellan,11262055,FMD,Family Medicine
Bruce,Ariella,29319747,OBG,Obstetrics and Gynecology
Bruce,Aries,72269651,FMD,Family Medicine
Bruce,Caleb,94656831,PSY,Psychiatry
Bruce,Kashton,33522684,PDT,Pediatrics
Bruce,Lewis,22065025,IMD,Internal Medicine
Bruce,Mckinley,60129606,EMD,Emergency Medicine
Bruce,Violet,10143665,FMD,Family Medicine
Bruce,Zayne,36011770,IMD,Internal Medicine
Bruce,Zyair,66745634,CSU,Cardiac Surgery
Bryan,Clark,72981904,FMD,Family Medicine
Bryan,Harlee,62376003,XXX,NOT_MATCHED
Bryan,Lukas,83622590,FMD,Family Medicine
Bryan,Mikayla,45846993,FMD,Family Medicine
Bryan,Silas,92262237,DMP,Diagnostic and Molecular Pathology
Bryant,Juliana,54401882,FMD,Family Medicine
Bryant,Legend,30316208,FMD,Family Medicine
Bryant,Soren,20498788,IMD,Internal Medicine
Buchanan,Chandler,69381723,PSY,Psychiatry
Buchanan,Ford,69353730,IMD,Internal Medicine
Buchanan,Genesis,98572895,IMD,Internal Medicine
Buchanan,Marley,25293907,XXX,NOT_MATCHED
Buchanan,Nataly,48671548,DRA,Diagnostic Radiology
Buchanan,Roselyn,29305490,FMD,Family Medicine
Buchanan,Stefan,69832059,GSU,General Surgery
Buckley,Arjun,97347111,FMD,Family Medicine
Buckley,Kehlani,62030895,FMD,Family Medicine
Buckley,Presley,58605658,ANT,Anesthesiology
Buckley,Stanley,65416486,ANT,Anesthesiology
Bullock,Alfred,99912105,IMD,Internal Medicine
Bullock,Poppy,30875238,FMD,Family Medicine
Bullock,Teagan,73588865,FMD,Family Medicine
Burch,Aidan,41411336,PDT,Pediatrics
Burch,Berkley,69625746,PSU,Plastic Surgery
Burgess,Ava,30935308,FMD,Family Medicine
Burgess,Lorelei,10408345,FMD,Family Medicine
Burgess,Regina,60798216,OBG,Obstetrics and Gynecology
Burgess,Tiffany,89445334,FMD,Family Medicine
Burke,Karter,30159677,DMP,Diagnostic and Molecular Pathology
Burke,Luna,92163756,PMR,Physical Medicine & Rehabilitation
Burke,Noemi,62338832,XXX,NOT_MATCHED
Burke,Princeton,49856216,FMD,Family Medicine
Burke,Rosalie,81806895,FMD,Family Medicine
Burke,Zahra,43923696,FMD,Family Medicine
Burnett,Allen,71068366,EMD,Emergency Medicine
Burnett,Ayaan,42631415,PDT,Pediatrics
Burnett,Eduardo,87948410,XXX,NOT_MATCHED
Burnett,Giuliana,28557741,FMD,Family Medicine
Burnett,Royalty,51643964,FMD,Family Medicine
Burns,Denver,57569343,FMD,Family Medicine
Burns,Grady,60332348,PSY,Psychiatry
Burns,Jabari,41240638,FMD,Family Medicine
Burns,Jad,28835744,FMD,Family Medicine
Burns,Jolie,63533988,IMD,Internal Medicine
Burton,Duke,86083722,FMD,Family Medicine
Burton,Lance,33553050,FMD,Family Medicine
Burton,Nico,77395340,OBG,Obstetrics and Gynecology
Bush,Destiny,81479895,NRO,Neurology
Bush,Hugh,71195129,OBG,Obstetrics and Gynecology
Bush,Violeta,34633618,FMD,Family Medicine
Bush,Zane,25583032,VSU,Vascular Surgery
Butler,Amina,26996885,IMD,Internal Medicine
Butler,Braylen,47101722,IMD,Internal Medicine
Butler,Khari,26943740,PDT,Pediatrics
Butler,Ramon,48718892,FMD,Family Medicine
Butler,Troy,50896185,OBG,Obstetrics and Gynecology
Byrd,Aarya,35836005,ORS,Orthopedic Surgery
Byrd,Jake,47182979,FMD,Family Medicine
Cabrera,Emilio,73197907,ANT,Anesthesiology
Cabrera,Zainab,56723341,IMD,Internal Medicine
Cain,Alijah,54090962,IMD,Internal Medicine
Cain,Cal,74961921,FMD,Family Medicine
Cain,Gemma,36055257,NRP,Neurology - Pediatric
Cain,Legacy,23393505,XXX,NOT_MATCHED
Cain,Leo,13281384,FMD,Family Medicine
Cain,Nolan,61295281,PDT,Pediatrics
Cain,Pearl,37077196,XXX,NOT_MATCHED
Cain,Thalia,36654863,FMD,Family Medicine
